Sl_no,Type_of_course_Aggregate,Type_of_fine_Aggregate_,Max._Size_of_Coarse_Aggregate_(mm),Cement_O.P.C_(Kg/m3),W/C_Ratio,Water_Content_(Kg/m3),7_day_str
1406,Crushed,Natural,40,375,0.48,180,25
1407,Crushed,Natural,20,375,0.49,185,25.1
1408,Crushed,Natural,20,375,0.49,185,25.1
1409,Crushed,Natural,20,370,0.51,190,37.1
1410,Crushed,Natural,40,375,0.48,180,30.3
1411,Crushed,Natural,40,375,0.48,180,30.3
1412,Crushed,Natural,20,365,0.51,185,36
1413,Crushed,Natural,20,375,0.48,180,26.2
1414,Crushed,Natural,20,400,0.44,175,29.9
1415,Crushed,Natural,20,400,0.44,175,29.9
1416,Crushed,Natural,20,400,0.42,168,29.6
1417,Crushed,Natural,20,400,0.42,168,29.6
1418,Crushed,Natural,20,450,0.33,150,37.1
1419,Crushed,Natural,20,450,0.33,150,37.1
1420,Crushed,Natural,20,400,0.54,215,39
1421,Crushed,Natural,20,400,0.54,215,39
1422,Crushed,Natural,40,350,0.53,185,27
1423,Crushed,Natural,40,350,0.53,185,27
1424,Crushed,Natural,20,375,0.51,190,24.6
1425,Crushed,Natural,20,375,0.51,190,24.6
1426,Crushed,Natural,40,400,0.4,180,28.7
1427,Crushed,Natural,40,400,0.45,180,28.7
1428,Crushed,Natural,20,375,0.48,180,36.5
1429,Crushed,Natural,20,375,0.48,180,36.5
1430,Crushed,Natural,20,350,0.48,168,36.1
1431,Crushed,Natural,20,350,0.48,168,36.1
1432,Crushed,Natural,20,400,0.45,180,41.4
1433,Crushed,Natural,20,375,0.49,185,34.9
1434,Crushed,Natural,40,375,0.44,165,31.7
1435,Crushed,Natural,40,375,0.44,165,26.7
1436,Crushed,Natural,20,375,0.49,185,29.4
1437,Crushed,Natural,20,375,0.49,185,32.3
1438,Crushed,Natural,40,360,0.46,165,29.4
1439,Crushed,Natural,40,360,0.46,165,33.7
1440,Crushed,Natural,40,360,0.46,165,29.4
1441,Crushed,Natural,40,360,0.46,165,33.7
1442,Crushed,Natural,20,375,0.51,190,33.7
1443,Crushed,Natural,20,375,0.51,190,33.7
1444,Crushed,Natural,40,375,0.45,170,35.6
1445,Crushed,Natural,40,375,0.45,170,35.6
1446,Crushed,Natural,40,375,0.47,175,32.5
1447,Crushed,Natural,40,400,0.45,180,36.6
1448,Crushed,Natural,40,375,0.47,175,32.5
1449,Crushed,Natural,40,400,0.45,180,36.6
1450,Crushed,Natural,20,375,0.48,180,24.8
1451,Crushed,Natural,20,375,0.48,180,24.8
1452,Crushed,Natural,40,350,0.47,165,25.5
1453,Crushed,Natural,40,350,0.47,165,25.5
1454,Crushed,Natural,40,375,0.48,180,29.5
1455,Crushed,Natural,40,375,0.48,180,30.3
1456,Crushed,Natural,40,375,0.48,180,29.5
1457,Crushed,Natural,20,350,0.47,165,42.1
1458,Crushed,Natural,20,350,0.47,165,42.1
1459,Crushed,Natural,20,365,0.45,165,35.4
1460,Crushed,Natural,20,365,0.45,165,35.4
1461,Crushed,Natural,20,365,0.45,165,35.4
1462,Crushed,Natural,20,375,0.48,180,40.9
1463,Crushed,Natural,20,375,0.48,180,40.9
1464,Crushed,Natural,40,360,0.45,160,33.1
1465,Crushed,Natural,40,360,0.45,160,33.1
1466,Crushed,Natural,20,375,0.49,185,41.1
1467,Crushed,Natural,20,375,0.49,185,41.1
1468,Crushed,Natural,20,375,0.49,185,38.6
1469,Crushed,Natural,20,375,0.49,185,38.6
1470,Crushed,Natural,20,375,0.51,190,26.8
1471,Crushed,Natural,20,375,0.51,190,26.8
1472,Crushed,Natural,20,375,0.51,190,26.8
1473,Crushed,Natural,40,365,0.48,175,27.3
1474,Crushed,Natural,40,375,0.45,170,35.1
1475,Crushed,Natural,40,375,0.45,170,35.1
1476,Crushed,Natural,20,385,0.52,200,32.8
1477,Crushed,Natural,20,365,0.51,185,35.4
1478,Crushed,Natural,20,365,0.51,185,35.4
1479,Crushed,Natural,20,375,0.49,185,29.5
1480,Crushed,Natural,20,375,0.49,185,29.5
1481,Crushed,Natural,20,375,0.47,190,34.2
1482,Crushed,Natural,40,375,0.48,175,31.1
1483,Crushed,Natural,40,375,0.48,175,31.1
1484,Crushed,Natural,20,370,0.46,170,33.4
1485,Crushed,Natural,20,375,0.48,180,27.3
1486,Crushed,Natural,20,375,0.48,180,27.3
1487,Crushed,Natural,40,375,0.48,180,25.1
1488,Crushed,Natural,20,385,0.48,215,22.3
1489,Crushed,Natural,20,385,0.48,215,22.3
1490,Crushed,Natural,20,375,0.51,190,30.7
1491,Crushed,Natural,20,400,0.54,215,31.2
1492,Crushed,Natural,40,375,0.48,180,28
1493,Crushed,Natural,40,375,0.48,180,28
1494,Crushed,Natural,20,375,0.48,180,27.9
1495,Crushed,Natural,20,375,0.48,180,27.9
1496,Crushed,Natural,20,400,0.42,185,36.4
1497,Crushed,Natural,40,375,0.48,180,31
1498,Crushed,Natural,40,375,0.48,180,31
1499,Crushed,Natural,40,350,0.47,165,35.6
1500,Crushed,Natural,40,350,0.47,165,35.6
1501,Crushed,Natural,20,375,0.51,190,31.4
1502,Crushed,Natural,40,400,0.5,200,37.7
1503,Crushed,Natural,40,400,0.5,200,37.7
1504,Crushed,Natural,20,350,0.47,165,34.3
1505,Crushed,Natural,20,350,0.47,165,34.3
1506,Crushed,Natural,20,370,0.51,190,35.9
1507,Crushed,Natural,20,370,0.51,190,35.9
1508,Crushed,Natural,20,375,0.51,190,30.5
1509,Crushed,Natural,20,375,0.51,190,30.5
1510,Crushed,Natural,40,355,0.48,170,35.5
1511,Crushed,Natural,40,355,0.48,170,35.3
1512,Crushed,Natural,40,350,0.48,170,36.9
1513,Crushed,Natural,20,325,0.48,157,35.4
1514,Crushed,Natural,20,300,0.48,145,34.7
1515,Crushed,Natural,20,375,0.49,185,38.7
1516,Crushed,Natural,20,375,0.49,185,38.7
1517,Crushed,Natural,40,365,0.44,160,33.7
1518,Crushed,Natural,40,365,0.44,160,33.7
1519,Crushed,Natural,20,365,0.48,175,25.8
1520,Crushed,Natural,20,365,0.48,175,25.8
1521,Crushed,Natural,20,400,0.54,215,31.2
1522,Crushed,Natural,20,400,0.45,170,34.6
1523,Crushed,Natural,20,400,0.45,170,34.5
1524,Crushed,Natural,20,400,0.45,170,34.6
1525,Crushed,Natural,20,400,0.45,170,34.5
1526,Crushed,Natural,20,375,0.49,185,30.7
1527,Crushed,Natural,20,375,0.51,190,27.6
1528,Crushed,Natural,20,400,0.45,180,34.6
1529,Crushed,Natural,20,400,0.45,180,34.6
1530,Crushed,Natural,20,350,0.47,165,28.3
1531,Crushed,Natural,20,350,0.47,165,28.3
1532,Crushed,Natural,40,375,0.45,170,31.3
1533,Crushed,Natural,40,375,0.45,170,31.3
1534,Crushed,Natural,40,375,0.44,165,32.6
1535,Crushed,Natural,40,375,0.44,165,32.6
1536,Crushed,Natural,40,375,0.44,165,32.6
1537,Crushed,Natural,20,375,0.48,180,27.2
1538,Crushed,Natural,20,375,0.48,180,27.2
